OBS,YEAR,MONTH,U.S._STATE,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,CUSTOMERS.AFFECTED,POPULATION,OUTAGE.START,OUTAGE.RESTORATION,anomaly_bin
355,2012,7.0,Illinois,Central,0.1,normal,severe weather,thunderstorm,,420.0,181000.0,12875167,2012-07-18 23:00:00,2012-07-19 06:00:00,0 to 0.5
356,2013,11.0,Illinois,Central,-0.3,normal,severe weather,thunderstorm,,479.0,190000.0,12889580,2013-11-17 14:31:00,2013-11-17 22:30:00,-0.5 to 0
357,2006,10.0,Illinois,Central,0.7,warm,severe weather,thunderstorm,,1680.0,471932.0,12643955,2006-10-02 14:00:00,2006-10-03 18:00:00,0.5 to 1.0
358,2010,6.0,Illinois,Central,-0.4,normal,severe weather,,,2700.0,400000.0,12841249,2010-06-18 16:00:00,2010-06-20 13:00:00,-0.5 to 0
359,2005,6.0,Illinois,Central,0.2,normal,equipment failure,transmission interruption,,149.0,51500.0,12609903,2005-06-24 20:37:00,2005-06-24 23:06:00,0 to 0.5
360,2011,6.0,Illinois,Central,-0.3,normal,severe weather,,,1110.0,121000.0,12861882,2011-06-30 22:30:00,2011-07-01 17:00:00,-0.5 to 0
361,2014,6.0,Illinois,Central,0.0,normal,severe weather,thunderstorm,,2790.0,420000.0,12882189,2014-06-30 20:00:00,2014-07-02 18:30:00,-0.5 to 0
362,2009,6.0,Illinois,Central,0.4,normal,severe weather,storm,,659.0,245000.0,12796778,2009-06-19 13:00:00,2009-06-19 23:59:00,0 to 0.5
363,2004,8.0,Illinois,Central,0.6,warm,severe weather,storm,,1320.0,127000.0,12589773,2004-08-03 21:00:00,2004-08-04 19:00:00,0.5 to 1.0
364,2011,7.0,Illinois,Central,-0.3,normal,severe weather,,,1830.0,169000.0,12861882,2011-07-23 02:30:00,2011-07-24 09:00:00,-0.5 to 0
365,2012,7.0,Illinois,Central,0.1,normal,severe weather,thunderstorm,,3000.0,320000.0,12875167,2012-07-01 13:00:00,2012-07-03 15:00:00,0 to 0.5
366,2000,,Illinois,Central,,,severe weather,wildfire,,,11000.0,12434161,,,
367,2012,7.0,Illinois,Central,0.1,normal,severe weather,thunderstorm,,870.0,330000.0,12875167,2012-07-24 07:30:00,2012-07-24 22:00:00,0 to 0.5
368,2008,5.0,Illinois,Central,-0.7,cold,severe weather,storm,,810.0,109000.0,12747038,2008-05-30 09:30:00,2008-05-30 23:00:00,-1.0 to -0.5
369,2013,6.0,Illinois,Central,-0.2,normal,severe weather,thunderstorm,,1336.0,283451.0,12889580,2013-06-24 19:30:00,2013-06-25 17:46:00,-0.5 to 0
370,2011,6.0,Illinois,Central,-0.3,normal,severe weather,thunderstorm,,1695.0,300000.0,12861882,2011-06-21 21:45:00,2011-06-23 02:00:00,-0.5 to 0
371,2003,7.0,Illinois,Central,0.1,normal,severe weather,thunderstorm,,360.0,72000.0,12556006,2003-07-07 09:00:00,2003-07-07 15:00:00,0 to 0.5
372,2013,8.0,Illinois,Central,-0.3,normal,severe weather,thunderstorm,,360.0,157000.0,12889580,2013-08-30 19:30:00,2013-08-31 01:30:00,-0.5 to 0
373,2011,4.0,Illinois,Central,-0.5,cold,severe weather,,,120.0,80000.0,12861882,2011-04-19 20:00:00,2011-04-19 22:00:00,-1.0 to -0.5
374,2008,8.0,Illinois,Central,-0.3,normal,severe weather,,,3000.0,653000.0,12747038,2008-08-04 18:00:00,2008-08-06 20:00:00,-0.5 to 0
375,2011,8.0,Illinois,Central,-0.6,cold,severe weather,,,1290.0,71500.0,12861882,2011-08-02 21:30:00,2011-08-03 19:00:00,-1.0 to -0.5
376,2004,7.0,Illinois,Central,0.5,warm,severe weather,thunderstorm,,1530.0,200000.0,12589773,2004-07-21 17:30:00,2004-07-22 19:00:00,0 to 0.5
377,2006,3.0,Illinois,Central,-0.4,normal,severe weather,,,2370.0,65400.0,12643955,2006-03-12 20:30:00,2006-03-14 12:00:00,-0.5 to 0
378,2007,12.0,Illinois,Central,-1.3,cold,severe weather,storm,,1200.0,237000.0,12695866,2007-12-23 01:00:00,2007-12-23 21:00:00,<-1.0
379,2007,7.0,Illinois,Central,-0.4,normal,severe weather,,,1200.0,135000.0,12695866,2007-07-18 18:00:00,2007-07-19 14:00:00,-0.5 to 0
380,2015,8.0,Illinois,Central,1.4,warm,severe weather,,,90.0,115000.0,12859995,2015-08-03 00:30:00,2015-08-03 02:00:00,>1.0
381,2003,11.0,Illinois,Central,0.3,normal,severe weather,heavy wind,,120.0,51000.0,12556006,2003-11-12 17:00:00,2003-11-12 19:00:00,0 to 0.5
382,2000,8.0,Illinois,Central,-0.5,cold,severe weather,,,1200.0,239567.0,12434161,2000-08-06 16:00:00,2000-08-07 12:00:00,-1.0 to -0.5
383,2014,1.0,Illinois,Central,-0.5,cold,fuel supply emergency, Natural Gas,,2761.0,,12882189,2014-01-07 10:59:00,2014-01-09 09:00:00,-1.0 to -0.5
384,2008,6.0,Illinois,Central,-0.5,cold,severe weather,,,720.0,165000.0,12747038,2008-06-15 08:00:00,2008-06-15 20:00:00,-1.0 to -0.5
385,2012,8.0,Illinois,Central,0.3,normal,severe weather,thunderstorm,,1120.0,325000.0,12875167,2012-08-04 17:30:00,2012-08-05 12:10:00,0 to 0.5
386,2010,10.0,Illinois,Central,-1.5,cold,severe weather,heavy wind,,2100.0,127000.0,12841249,2010-10-27 17:00:00,2010-10-29 04:00:00,<-1.0
387,2003,7.0,Illinois,Central,0.1,normal,severe weather,storm,,960.0,130000.0,12556006,2003-07-05 03:00:00,2003-07-05 19:00:00,0 to 0.5
388,2011,6.0,Illinois,Central,-0.3,normal,severe weather,thunderstorm,,450.0,169000.0,12861882,2011-06-09 04:30:00,2011-06-09 12:00:00,-0.5 to 0
389,2006,7.0,Illinois,Central,0.1,normal,severe weather,thunderstorm,,1440.0,170519.0,12643955,2006-07-17 21:00:00,2006-07-18 21:00:00,0 to 0.5
390,2011,2.0,Illinois,Central,-1.0,cold,severe weather,winter storm,,1020.0,190000.0,12861882,2011-02-01 21:00:00,2011-02-02 14:00:00,<-1.0
391,2011,7.0,Illinois,Central,-0.3,normal,severe weather,,,,500000.0,12861882,2011-07-11 09:00:00,2011-07-11 09:00:00,-0.5 to 0
392,2008,6.0,Illinois,Central,-0.5,cold,severe weather,,,2010.0,125000.0,12747038,2008-06-08 09:30:00,2008-06-09 19:00:00,-1.0 to -0.5
393,2011,7.0,Illinois,Central,-0.3,normal,public appeal,,,120.0,,12861882,2011-07-21 13:00:00,2011-07-21 15:00:00,-0.5 to 0
394,2009,5.0,Illinois,Central,0.2,normal,severe weather,thunderstorm,,9230.0,68800.0,12796778,2009-05-08 13:30:00,2009-05-14 23:20:00,0 to 0.5
395,2012,2.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,1240.0,,6897292,2012-02-14 19:20:00,2012-02-15 16:00:00,-1.0 to -0.5
396,2011,12.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,465.0,,6823229,2011-12-08 08:45:00,2011-12-08 16:30:00,-1.0 to -0.5
397,2012,2.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,,,6897292,2012-02-11 08:55:00,2012-02-11 08:55:00,-1.0 to -0.5
398,2010,12.0,Washington,Northwest,-1.4,cold,severe weather,,,2460.0,92090.0,6743060,2010-12-18 05:00:00,2010-12-19 22:00:00,<-1.0
399,2014,1.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,1183.0,,7063166,2014-01-23 21:17:00,2014-01-24 17:00:00,-1.0 to -0.5
400,2015,8.0,Washington,Northwest,1.4,warm,severe weather,,,8880.0,250000.0,7170351,2015-08-29 11:00:00,2015-09-04 15:00:00,>1.0
401,2011,8.0,Washington,Northwest,-0.6,cold,intentional attack,vandalism,,394.0,,6823229,2011-08-09 10:26:00,2011-08-09 17:00:00,-1.0 to -0.5
402,2012,4.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,219.0,,6897292,2012-04-23 11:56:00,2012-04-23 15:35:00,-0.5 to 0
403,2012,4.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,487.0,,6897292,2012-04-19 07:53:00,2012-04-19 16:00:00,-0.5 to 0
404,2015,5.0,Washington,Northwest,0.8,warm,islanding,,,19.0,,7170351,2015-05-18 15:28:00,2015-05-18 15:47:00,0.5 to 1.0
405,2012,12.0,Washington,Northwest,-0.2,normal,intentional attack,,,28.0,0.0,6897292,2012-12-03 12:02:00,2012-12-03 12:30:00,-0.5 to 0
406,2011,6.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,,6823229,2011-06-08 12:58:00,2011-06-08 12:58:00,-0.5 to 0
407,2012,10.0,Washington,Northwest,0.3,normal,intentional attack,,,1.0,0.0,6897292,2012-10-29 09:00:00,2012-10-29 09:01:00,0 to 0.5
408,2004,1.0,Washington,Northwest,0.3,normal,severe weather,winter storm,,5340.0,145000.0,6178645,2004-01-07 00:00:00,2004-01-10 17:00:00,0 to 0.5
409,2006,11.0,Washington,Northwest,0.9,warm,severe weather,winter storm,,8940.0,63992.0,6370753,2006-11-26 13:00:00,2006-12-02 18:00:00,0.5 to 1.0
410,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,467.0,,6823229,2011-09-01 08:13:00,2011-09-01 16:00:00,-1.0 to -0.5
411,2011,12.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,,,6823229,2011-12-31 21:26:00,2011-12-31 21:26:00,-1.0 to -0.5
412,2012,1.0,Washington,Northwest,-0.7,cold,severe weather,winter storm,,1920.0,426000.0,6897292,2012-01-19 07:00:00,2012-01-20 15:00:00,-1.0 to -0.5
413,2012,3.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,,,6897292,2012-03-26 13:24:00,2012-03-26 13:24:00,-0.5 to 0
414,2015,7.0,Washington,Northwest,1.2,warm,system operability disruption,,,25.0,,7170351,2015-07-21 12:47:00,2015-07-21 13:12:00,>1.0
415,2015,12.0,Washington,Northwest,2.3,warm,severe weather,,,420.0,76300.0,7170351,2015-12-09 04:00:00,2015-12-09 11:00:00,>1.0
416,2007,1.0,Washington,Northwest,0.7,warm,severe weather,heavy wind,,2040.0,110433.0,6461587,2007-01-16 02:00:00,2007-01-17 12:00:00,0.5 to 1.0
417,2012,3.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,,,6897292,2012-03-28 10:17:00,2012-03-28 10:17:00,-0.5 to 0
418,2016,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,1.0,0.0,7280934,2016-07-13 13:00:00,2016-07-13 13:01:00,-0.5 to 0
419,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,1423.0,,6823229,2011-09-24 16:17:00,2011-09-25 16:00:00,-1.0 to -0.5
420,2011,11.0,Washington,Northwest,-1.0,cold,intentional attack,vandalism,,60.0,0.0,6823229,2011-11-30 10:00:00,2011-11-30 11:00:00,<-1.0
421,2011,12.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,1620.0,,6823229,2011-12-05 14:00:00,2011-12-06 17:00:00,-1.0 to -0.5
422,2013,11.0,Washington,Northwest,-0.3,normal,severe weather,heavy wind,,3300.0,105000.0,6973281,2013-11-02 00:00:00,2013-11-04 06:00:00,-0.5 to 0
423,2011,8.0,Washington,Northwest,-0.6,cold,intentional attack,vandalism,,385.0,,6823229,2011-08-08 09:35:00,2011-08-08 16:00:00,-1.0 to -0.5
424,2015,3.0,Washington,Northwest,0.6,warm,intentional attack,vandalism,,663.0,,7170351,2015-03-09 23:50:00,2015-03-10 10:53:00,0.5 to 1.0
425,2011,4.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,123.0,0.0,6823229,2011-04-19 14:01:00,2011-04-19 16:04:00,-1.0 to -0.5
426,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,1276.0,,6823229,2011-09-29 18:44:00,2011-09-30 16:00:00,-1.0 to -0.5
427,2016,3.0,Washington,Northwest,1.6,warm,intentional attack,sabotage,,1919.0,0.0,7280934,2016-03-10 04:00:00,2016-03-11 11:59:00,>1.0
428,2016,3.0,Washington,Northwest,1.6,warm,intentional attack,sabotage,,,0.0,7280934,2016-03-13 14:00:00,,>1.0
429,2011,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,440.0,,6823229,2011-07-20 09:10:00,2011-07-20 16:30:00,-0.5 to 0
430,2006,2.0,Washington,Northwest,-0.6,cold,severe weather,heavy wind,,6690.0,140000.0,6370753,2006-02-04 04:30:00,2006-02-08 20:00:00,-1.0 to -0.5
431,2016,3.0,Washington,Northwest,1.6,warm,severe weather,,,,56000.0,7280934,2016-03-01 15:00:00,,>1.0
432,2011,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,,6823229,2011-07-28 19:25:00,2011-07-28 19:25:00,-0.5 to 0
433,2015,8.0,Washington,Northwest,1.4,warm,severe weather,,,,500000.0,7170351,2015-08-29 10:00:00,,>1.0
434,2012,2.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,717.0,0.0,6897292,2012-02-15 05:33:00,2012-02-15 17:30:00,-1.0 to -0.5
435,2009,4.0,Washington,Northwest,-0.1,normal,equipment failure,transmission trip,,1204.0,93300.0,6667426,2009-04-23 16:25:00,2009-04-24 12:29:00,-0.5 to 0
436,2012,4.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,292.0,0.0,6897292,2012-04-03 15:33:00,2012-04-03 20:25:00,-0.5 to 0
437,2016,4.0,Washington,Northwest,1.1,warm,intentional attack,,,313.0,0.0,7280934,2016-04-12 11:30:00,2016-04-12 16:43:00,>1.0
438,2013,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,1.0,,6973281,2013-07-12 10:00:00,2013-07-12 10:01:00,-0.5 to 0
439,2012,12.0,Washington,Northwest,-0.2,normal,intentional attack,,,5.0,0.0,6897292,2012-12-17 06:55:00,2012-12-17 07:00:00,-0.5 to 0
440,2007,10.0,Washington,Northwest,-1.1,cold,severe weather,heavy wind,,6276.0,160000.0,6461587,2007-10-18 15:00:00,2007-10-22 23:36:00,<-1.0
441,2011,2.0,Washington,Northwest,-1.0,cold,intentional attack,vandalism,,,0.0,6823229,2011-02-10 13:00:00,2011-02-10 13:00:00,<-1.0
442,2013,1.0,Washington,Northwest,-0.4,normal,intentional attack,,,74.0,,6973281,2013-01-28 16:46:00,2013-01-28 18:00:00,-0.5 to 0
443,2012,1.0,Washington,Northwest,-0.7,cold,intentional attack,vandalism,,,,6897292,2012-01-27 09:40:00,2012-01-27 09:40:00,-1.0 to -0.5
444,2015,11.0,Washington,Northwest,2.2,warm,severe weather,,,,89000.0,7170351,2015-11-17 09:00:00,,>1.0
445,2008,8.0,Washington,Northwest,-0.3,normal,public appeal,,,248.0,8000.0,6562231,2008-08-15 12:52:00,2008-08-15 17:00:00,-0.5 to 0
446,2011,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,1.0,,6823229,2011-07-27 12:07:00,2011-07-27 12:08:00,-0.5 to 0
447,2010,11.0,Washington,Northwest,-1.4,cold,severe weather,winter storm,,2700.0,123535.0,6743060,2010-11-22 23:00:00,2010-11-24 20:00:00,<-1.0
448,2012,2.0,Washington,Northwest,-0.5,cold,intentional attack,vandalism,,25.0,,6897292,2012-02-24 11:24:00,2012-02-24 11:49:00,-1.0 to -0.5
449,2011,2.0,Washington,Northwest,-1.0,cold,intentional attack,vandalism,,126.0,0.0,6823229,2011-02-09 14:54:00,2011-02-09 17:00:00,<-1.0
450,2013,8.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,1.0,,6973281,2013-08-26 20:15:00,2013-08-26 20:16:00,-0.5 to 0
451,2012,8.0,Washington,Northwest,0.3,normal,intentional attack,,,255.0,,6897292,2012-08-11 12:45:00,2012-08-11 17:00:00,0 to 0.5
452,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,1207.0,,6823229,2011-09-08 19:53:00,2011-09-09 16:00:00,-1.0 to -0.5
453,2011,6.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,0.0,6823229,2011-06-30 22:31:00,2011-06-30 22:31:00,-0.5 to 0
454,2011,6.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,,6823229,2011-06-27 18:55:00,2011-06-27 18:55:00,-0.5 to 0
455,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,245.0,,6823229,2011-09-20 12:55:00,2011-09-20 17:00:00,-1.0 to -0.5
456,2011,10.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,476.0,,6823229,2011-10-07 08:04:00,2011-10-07 16:00:00,-1.0 to -0.5
457,2016,3.0,Washington,Northwest,1.6,warm,intentional attack,vandalism,,,0.0,7280934,2016-03-13 16:55:00,,>1.0
458,2015,11.0,Washington,Northwest,2.2,warm,severe weather,,,,300000.0,7170351,2015-11-17 10:00:00,,>1.0
459,2015,7.0,Washington,Northwest,1.2,warm,islanding,,,,,7170351,2015-07-31 10:55:00,,>1.0
460,2012,7.0,Washington,Northwest,0.1,normal,intentional attack,vandalism,,1.0,,6897292,2012-07-06 15:05:00,2012-07-06 15:06:00,0 to 0.5
461,2006,12.0,Washington,Northwest,0.9,warm,severe weather,heavy wind,,2639.0,175000.0,6370753,2006-12-14 00:01:00,2006-12-15 20:00:00,0.5 to 1.0
462,2012,4.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,502.0,,6897292,2012-04-12 08:08:00,2012-04-12 16:30:00,-0.5 to 0
463,2014,6.0,Washington,Northwest,0.0,normal,intentional attack,vandalism,,548.0,,7063166,2014-06-18 09:52:00,2014-06-18 19:00:00,-0.5 to 0
464,2011,8.0,Washington,Northwest,-0.6,cold,intentional attack,vandalism,,369.0,,6823229,2011-08-18 09:51:00,2011-08-18 16:00:00,-1.0 to -0.5
465,2003,12.0,Washington,Northwest,0.3,normal,severe weather,heavy wind,,6480.0,200000.0,6104115,2003-12-04 07:00:00,2003-12-08 19:00:00,0 to 0.5
466,2012,5.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,15.0,,6897292,2012-05-11 11:05:00,2012-05-11 11:20:00,-0.5 to 0
467,2013,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,5.0,,6973281,2013-07-25 13:10:00,2013-07-25 13:15:00,-0.5 to 0
468,2016,5.0,Washington,Northwest,0.6,warm,islanding,,,,,7280934,2016-05-08 09:12:00,,0.5 to 1.0
469,2011,12.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,1.0,,6823229,2011-12-20 09:30:00,2011-12-20 09:31:00,-1.0 to -0.5
470,2012,1.0,Washington,Northwest,-0.7,cold,intentional attack,vandalism,,,,6897292,2012-01-24 11:22:00,2012-01-24 11:22:00,-1.0 to -0.5
471,2011,12.0,Washington,Northwest,-0.9,cold,intentional attack,vandalism,,432.0,,6823229,2011-12-19 08:48:00,2011-12-19 16:00:00,-1.0 to -0.5
472,2015,6.0,Washington,Northwest,1.0,warm,islanding,,,21.0,0.0,7170351,2015-06-29 19:21:00,2015-06-29 19:42:00,0.5 to 1.0
473,2011,9.0,Washington,Northwest,-0.8,cold,intentional attack,vandalism,,1697.0,,6823229,2011-09-13 11:43:00,2011-09-14 16:00:00,-1.0 to -0.5
474,2011,6.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,0.0,6823229,2011-06-22 20:12:00,2011-06-22 20:12:00,-0.5 to 0
475,2012,4.0,Washington,Northwest,-0.4,normal,intentional attack,vandalism,,2615.0,,6897292,2012-04-21 20:55:00,2012-04-23 16:30:00,-0.5 to 0
476,2006,12.0,Washington,Northwest,0.9,warm,severe weather,heavy wind,,9630.0,172060.0,6370753,2006-12-14 05:30:00,2006-12-20 22:00:00,0.5 to 1.0
477,2006,2.0,Washington,Northwest,-0.6,cold,severe weather,heavy wind,,3507.0,123827.0,6370753,2006-02-04 01:34:00,2006-02-06 12:01:00,-1.0 to -0.5
478,2006,12.0,Washington,Northwest,0.9,warm,severe weather,heavy wind,,2820.0,75000.0,6370753,2006-12-14 17:00:00,2006-12-16 16:00:00,0.5 to 1.0
479,2011,7.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,314.0,,6823229,2011-07-29 11:46:00,2011-07-29 17:00:00,-0.5 to 0
480,2006,11.0,Washington,Northwest,0.9,warm,severe weather,heavy wind,,5855.0,50000.0,6370753,2006-11-15 13:00:00,2006-11-19 14:35:00,0.5 to 1.0
481,2011,6.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,,0.0,6823229,2011-06-20 10:36:00,2011-06-20 10:36:00,-0.5 to 0
482,2012,1.0,Washington,Northwest,-0.7,cold,intentional attack,vandalism,,,,6897292,2012-01-29 12:45:00,2012-01-29 12:45:00,-1.0 to -0.5
483,2014,3.0,Washington,Northwest,-0.4,normal,fuel supply emergency, Hydro,,1.0,,7063166,2014-03-03 01:48:00,2014-03-03 01:49:00,-0.5 to 0
484,2006,12.0,Washington,Northwest,0.9,warm,severe weather,heavy wind,,22769.0,700000.0,6370753,2006-12-13 04:30:00,2006-12-28 23:59:00,0.5 to 1.0
485,2012,5.0,Washington,Northwest,-0.3,normal,intentional attack,vandalism,,70.0,,6897292,2012-05-29 18:30:00,2012-05-29 19:40:00,-0.5 to 0
486,2004,4.0,Washington,Northwest,0.1,normal,severe weather,heavy wind,,4285.0,187000.0,6178645,2004-04-27 12:35:00,2004-04-30 12:00:00,0 to 0.5
487,2011,8.0,Washington,Northwest,-0.6,cold,intentional attack,vandalism,,355.0,,6823229,2011-08-22 10:05:00,2011-08-22 16:00:00,-1.0 to -0.5
488,2012,1.0,Washington,Northwest,-0.7,cold,intentional attack,vandalism,,,,6897292,2012-01-15 09:35:00,2012-01-15 09:35:00,-1.0 to -0.5
489,2015,8.0,Washington,Northwest,1.4,warm,severe weather,,,2520.0,64000.0,7170351,2015-08-29 13:00:00,2015-08-31 07:00:00,>1.0
490,2012,1.0,Washington,Northwest,-0.7,cold,intentional attack,vandalism,,,,6897292,2012-01-04 12:14:00,2012-01-04 12:14:00,-1.0 to -0.5
491,2013,5.0,Washington,Northwest,-0.2,normal,islanding,,,180.0,,6973281,2013-05-09 13:21:00,2013-05-09 16:21:00,-0.5 to 0
492,2011,6.0,Arizona,Southwest,-0.3,normal,system operability disruption,majorsystem interruption,,554.0,160000.0,6468732,2011-06-30 14:11:00,2011-06-30 23:25:00,-0.5 to 0
493,2015,2.0,Arizona,Southwest,0.5,warm,intentional attack,vandalism,,50.0,,6828065,2015-02-19 14:30:00,2015-02-19 15:20:00,0 to 0.5
494,2015,2.0,Arizona,Southwest,0.5,warm,intentional attack,vandalism,,70.0,,6828065,2015-02-17 06:20:00,2015-02-17 07:30:00,0 to 0.5
495,2013,12.0,Arizona,Southwest,-0.3,normal,intentional attack,,,180.0,,6630799,2013-12-27 09:43:00,2013-12-27 12:43:00,-0.5 to 0
496,2013,7.0,Arizona,Southwest,-0.3,normal,intentional attack,vandalism,,3842.0,,6630799,2013-07-11 23:20:00,2013-07-14 15:22:00,-0.5 to 0
497,2003,7.0,Arizona,Southwest,0.1,normal,equipment failure,breaker trip,,35.0,47000.0,5510364,2003-07-01 15:15:00,2003-07-01 15:50:00,0 to 0.5
498,2013,10.0,Arizona,Southwest,-0.3,normal,intentional attack,,,1.0,,6630799,2013-10-26 07:13:00,2013-10-26 07:14:00,-0.5 to 0
499,2013,8.0,Arizona,Southwest,-0.3,normal,intentional attack,sabotage,,189.0,,6630799,2013-08-22 08:40:00,2013-08-22 11:49:00,-0.5 to 0
500,2004,7.0,Arizona,Southwest,0.5,warm,severe weather,wildfire,,49320.0,,5652404,2004-07-06 06:00:00,2004-08-09 12:00:00,0 to 0.5
501,2009,12.0,Arizona,Southwest,1.3,warm,severe weather,,,4200.0,140000.0,6343154,2009-12-08 01:00:00,2009-12-10 23:00:00,>1.0
502,2014,5.0,Arizona,Southwest,-0.1,normal,intentional attack,vandalism,,353.0,,6728783,2014-05-27 11:00:00,2014-05-27 16:53:00,-0.5 to 0
503,2014,1.0,Arizona,Southwest,-0.5,cold,intentional attack,vandalism,,1.0,,6728783,2014-01-13 16:44:00,2014-01-13 16:45:00,-1.0 to -0.5
504,2014,1.0,Arizona,Southwest,-0.5,cold,intentional attack,vandalism,,87.0,,6728783,2014-01-16 12:30:00,2014-01-16 13:57:00,-1.0 to -0.5
505,2000,6.0,Arizona,Southwest,-0.7,cold,severe weather,wildfire,,66.0,40911.0,5160586,2000-06-14 15:54:00,2000-06-14 17:00:00,-1.0 to -0.5
506,2002,4.0,Arizona,Southwest,0.2,normal,intentional attack,vandalism,,,0.0,5396255,2002-04-08 15:00:00,,0 to 0.5
507,2014,6.0,Arizona,Southwest,0.0,normal,intentional attack,,,1.0,,6728783,2014-06-11 09:30:00,2014-06-11 09:31:00,-0.5 to 0
508,2016,2.0,Arizona,Southwest,2.0,warm,intentional attack,sabotage,,227.0,2713.0,6908642,2016-02-26 16:35:00,2016-02-26 20:22:00,>1.0
509,2014,1.0,Arizona,Southwest,-0.5,cold,intentional attack,vandalism,,,,6728783,2014-01-30 15:00:00,,-1.0 to -0.5
510,2013,12.0,Arizona,Southwest,-0.3,normal,intentional attack,,,1440.0,,6630799,2013-12-10 01:01:00,2013-12-11 01:01:00,-0.5 to 0
511,2011,4.0,Arizona,Southwest,-0.5,cold,equipment failure,,,1.0,,6468732,2011-04-28 16:09:00,2011-04-28 16:10:00,-1.0 to -0.5
512,2013,12.0,Arizona,Southwest,-0.3,normal,intentional attack,,,2700.0,,6630799,2013-12-30 11:00:00,2014-01-01 08:00:00,-0.5 to 0
513,2000,5.0,Arizona,Southwest,-0.7,cold,intentional attack,vandalism,,,,5160586,2000-05-31 01:15:00,,-1.0 to -0.5
514,2004,7.0,Arizona,Southwest,0.5,warm,severe weather,wildfire,,49320.0,,5652404,2004-07-06 06:00:00,2004-08-09 12:00:00,0 to 0.5
515,2015,2.0,Arizona,Southwest,0.5,warm,intentional attack,vandalism,,2.0,,6828065,2015-02-05 08:15:00,2015-02-05 08:17:00,0 to 0.5
516,2011,2.0,Arizona,Southwest,-1.0,cold,system operability disruption,,,215.0,69000.0,6468732,2011-02-02 06:22:00,2011-02-02 09:57:00,<-1.0
517,2014,3.0,Arizona,Southwest,-0.4,normal,intentional attack,sabotage,,451.0,,6728783,2014-03-17 17:25:00,2014-03-18 00:56:00,-0.5 to 0
518,2004,6.0,Arizona,Southwest,0.3,normal,equipment failure,line fault,,418.0,30000.0,5652404,2004-06-14 07:41:00,2004-06-14 14:39:00,0 to 0.5
519,2003,7.0,Arizona,Southwest,0.1,normal,equipment failure,breaker trip,,100.0,90000.0,5510364,2003-07-28 18:55:00,2003-07-28 20:35:00,0 to 0.5
520,2012,6.0,Maryland,Northeast,-0.1,normal,severe weather,thunderstorm,,2021.0,60000.0,5890740,2012-06-30 22:30:00,2012-07-02 08:11:00,-0.5 to 0
521,2004,1.0,Maryland,Northeast,0.3,normal,severe weather,winter storm,,1671.0,70000.0,5546935,2004-01-28 13:09:00,2004-01-29 17:00:00,0 to 0.5
522,2006,2.0,Maryland,Northeast,-0.6,cold,severe weather,winter storm,,3938.0,60000.0,5627367,2006-02-12 00:06:00,2006-02-14 17:44:00,-1.0 to -0.5
523,2008,6.0,Maryland,Northeast,-0.5,cold,severe weather,storm,,4470.0,108000.0,5684965,2008-06-04 15:00:00,2008-06-07 17:30:00,-1.0 to -0.5
524,2004,12.0,Maryland,Northeast,0.7,warm,severe weather,heavy wind,,2279.0,122000.0,5546935,2004-12-01 10:00:00,2004-12-02 23:59:00,0.5 to 1.0
